Nom/ID,subject,predicate,object,graph
q71,<http://fr.dbpedia.org/resource/Ísafjörður_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Iceland,http://MonSchema
q72,<http://fr.dbpedia.org/resource/Ísafjörður_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,66.05809783935547,http://MonSchema
q73,<http://fr.dbpedia.org/resource/Ísafjörður_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-23.13529968261719,http://MonSchema
q74,<http://fr.dbpedia.org/resource/Ísafjörður_Airport>,<http://dbpedia.org/ontology/alitude>,8,http://MonSchema
q75,<http://fr.dbpedia.org/resource/Keflavik_International_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Keflavik,http://MonSchema
q76,<http://fr.dbpedia.org/resource/Keflavik_International_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Iceland,http://MonSchema
q77,<http://fr.dbpedia.org/resource/Keflavik_International_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,63.985000610352,http://MonSchema
q78,<http://fr.dbpedia.org/resource/Keflavik_International_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-22.605600357055998,http://MonSchema
q79,<http://fr.dbpedia.org/resource/Keflavik_International_Airport>,<http://dbpedia.org/ontology/alitude>,171,http://MonSchema
q80,<http://fr.dbpedia.org/resource/Patreksfjörður_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Patreksfjordur,http://MonSchema
q81,<http://fr.dbpedia.org/resource/Patreksfjörður_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Iceland,http://MonSchema
q82,<http://fr.dbpedia.org/resource/Patreksfjörður_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,65.555801,http://MonSchema
q83,<http://fr.dbpedia.org/resource/Patreksfjörður_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-23.965,http://MonSchema
q84,<http://fr.dbpedia.org/resource/Patreksfjörður_Airport>,<http://dbpedia.org/ontology/alitude>,11,http://MonSchema
q85,<http://fr.dbpedia.org/resource/Reykjavik_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Reykjavik,http://MonSchema
q86,<http://fr.dbpedia.org/resource/Reykjavik_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Iceland,http://MonSchema
q87,<http://fr.dbpedia.org/resource/Reykjavik_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,64.1299972534,http://MonSchema
q88,<http://fr.dbpedia.org/resource/Reykjavik_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-21.9405994415,http://MonSchema
q89,<http://fr.dbpedia.org/resource/Reykjavik_Airport>,<http://dbpedia.org/ontology/alitude>,48,http://MonSchema
q90,<http://fr.dbpedia.org/resource/Siglufjörður_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Siglufjordur,http://MonSchema
q91,<http://fr.dbpedia.org/resource/Siglufjörður_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Iceland,http://MonSchema
q92,<http://fr.dbpedia.org/resource/Siglufjörður_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,66.133301,http://MonSchema
q93,<http://fr.dbpedia.org/resource/Siglufjörður_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-18.9167,http://MonSchema
q94,<http://fr.dbpedia.org/resource/Siglufjörður_Airport>,<http://dbpedia.org/ontology/alitude>,10,http://MonSchema
q95,<http://fr.dbpedia.org/resource/Vestmannaeyjar_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Vestmannaeyjar,http://MonSchema
q96,<http://fr.dbpedia.org/resource/Vestmannaeyjar_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCountry>,Iceland,http://MonSchema
q97,<http://fr.dbpedia.org/resource/Vestmannaeyjar_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/lat>,63.42430114746094,http://MonSchema
q98,<http://fr.dbpedia.org/resource/Vestmannaeyjar_Airport>,<http://www.w3.org/2003/01/geo/wgs84_pos/long>,-20.27890014648437,http://MonSchema
q99,<http://fr.dbpedia.org/resource/Vestmannaeyjar_Airport>,<http://dbpedia.org/ontology/alitude>,326,http://MonSchema
q100,<http://fr.dbpedia.org/resource/Sault_Ste_Marie_Airport>,<http://sw-portal.deri.org/ontologies/swportal/inCity>,Sault Sainte Marie,http://MonSchema
